"Label (Grouping)","Census Tract 3120, Harris County, Texas!!Estimate","Census Tract 3120, Harris County, Texas!!Margin of Error","Census Tract 3121, Harris County, Texas!!Estimate","Census Tract 3121, Harris County, Texas!!Margin of Error","Census Tract 3122, Harris County, Texas!!Estimate","Census Tract 3122, Harris County, Texas!!Margin of Error","Census Tract 3123, Harris County, Texas!!Estimate","Census Tract 3123, Harris County, Texas!!Margin of Error","Census Tract 3124, Harris County, Texas!!Estimate","Census Tract 3124, Harris County, Texas!!Margin of Error","Census Tract 3127, Harris County, Texas!!Estimate","Census Tract 3127, Harris County, Texas!!Margin of Error","Census Tract 3128, Harris County, Texas!!Estimate","Census Tract 3128, Harris County, Texas!!Margin of Error"
"Total:","3,005","±1,445","1,092","±486","2,069","±341","1,665","±499","2,048","±552","2,115","±414","2,659","±428"
"    Native:","2,441","±1,259","849","±415","1,986","±337","1,438","±348","1,660","±379","2,053","±407","2,561","±431"
"        Born in state of residence","1,906","±1,043","582","±311","1,662","±318","1,143","±316","1,404","±381","1,558","±357","1,799","±380"
"        Born in other state in the United States:","519","±248","258","±143","324","±135","295","±145","256","±117","487","±150","762","±230"
"            Northeast","27","±33","45","±42","14","±22","10","±15","20","±35","43","±43","81","±49"
"            Midwest","44","±36","48","±41","11","±19","6","±18","20","±24","133","±86","197","±129"
"            South","324","±238","71","±71","299","±138","279","±150","216","±119","239","±114","318","±139"
"            West","124","±68","94","±61","0","±127","0","±127","0","±127","72","±78","166","±85"
"        Born outside the United States:","16","±18","9","±13","0","±127","0","±127","0","±127","8","±14","0","±127"
"            Puerto Rico","0","±127","0","±127","0","±127","0","±127","0","±127","0","±127","0","±127"
"            U.S. Island Areas","10","±15","0","±127","0","±127","0","±127","0","±127","0","±127","0","±127"
"            Born abroad of American parent(s)","6","±12","9","±13","0","±127","0","±127","0","±127","8","±14","0","±127"
"    Foreign born:","564","±298","243","±139","83","±80","227","±267","388","±303","62","±64","98","±66"
"        Naturalized U.S. citizen","244","±234","25","±31","31","±36","15","±26","20","±32","31","±50","11","±17"
"        Not a U.S. citizen","320","±189","218","±123","52","±49","212","±259","368","±300","31","±40","87","±64"